marital status,age,gender,rooms,hobbies,alcoholic,annual_income,fav_color,other_props,work_hours,avg_energy,other_cities,office_distance,ethnicity,devotional,ed_qualification,expenses,genre,nature_lover,high_raise_apt,sports,texture,outing
unmarried,30,female,2,volunteering,no,656271,black,2,10,3954,itanagar,10,tamil,no,14,21,cover,yes,yes,outdoor,fluffy,not so often
married,33,male,1,singing,yes,5330846,brown,1,10,2375,itanagar,6,malayalam,no,21,40,folk,yes,yes,augmented,fluffy,no
married,57,unspecified,3,sports,yes,335973,yellow,2,9,370,chandigarh,10,punjabi,yes,7,10,folk,no,yes,indoor,fluffy,not so often
widow,72,male,2,dancing,no,574390,brown,1,5,337,chandigarh,10,hindi,yes,18,20,mashups,yes,yes,outdoor,fluffy,not so often
divorced,18,female,3,acting,no,112202,green,2,6,1047,dehradun,15,marathi,yes,13,16,pop,yes,yes,virtual,soft,not so often
divorced,18,female,2,cooking,yes,571428,blue,1,10,337,delhi,1,punjabi,yes,7,19,pop,no,yes,virtual,hard,yes
divorced,19,female,1,volunteering,yes,111985,green,2,5,533,shimla,1,marathi,no,23,36,hiphop,yes,yes,indoor,fluffy,no
married,51,male,2,traveling,yes,851246,green,2,6,251,chennai,15,tamil,no,14,27,soft,yes,yes,indoor,matte,no
married,29,male,2,dancing,yes,336197,yellow,2,9,2831,dehradun,6,bengali,yes,20,12,cover,no,no,virtual,fluffy,not so often
married,43,female,3,dancing,no,257205,orange,2,8,2573,shillong,28,tamil,yes,13,8,rock,no,yes,augmented,soft,yes
married,30,female,2,dancing,no,150237,black,4,10,2305,chandigarh,6,punjabi,yes,14,27,rock,yes,yes,augmented,matte,no
unmarried,42,male,1,acting,no,7850318,pink,7,10,1130,srinagar,23,punjabi,no,16,1,pop,no,no,virtual,fluffy,not so often
married,24,male,1,watching,yes,8596595,grey,1,1,337,ranchi,15,telugu,no,11,15,hiphop,yes,no,augmented,silky,yes
married,31,male,3,dancing,yes,816236,green,4,4,3954,kolkata,23,hindi,yes,12,23,pop,no,yes,virtual,silky,no
married,17,male,1,reading,yes,7775818,red,4,10,1468,gandhinagar,15,malayalam,yes,9,9,pop,no,yes,virtual,silky,yes
widow,11,male,3,sleeping,yes,5007892,pink,2,10,2160,bangalore,7,bengali,yes,11,11,cover,no,no,augmented,fluffy,not so often
married,10,male,3,sleeping,yes,2338408,brown,2,12,1355,chandigarh,3,bengali,yes,22,1,folk,yes,yes,augmented,matte,not so often
unmarried,27,female,1,reading,no,656271,purple,1,9,2299,gandhinagar,7,marathi,yes,18,29,jaaz,yes,no,indoor,matte,not so often
married,21,female,2,cooking,no,1460818,pink,4,8,2690,hyderbad,4,tamil,no,12,12,folk,yes,no,outdoor,soft,no
married,36,male,1,sports,yes,336197,purple,2,10,2831,jaipur,14,marathi,no,20,15,mashups,yes,no,augmented,silky,not so often
married,42,female,2,singing,yes,277431,black,7,4,1649,dispur,1,marathi,no,17,14,rock,no,no,outdoor,matte,yes
divorced,6,male,1,cooking,no,6251352,purple,1,11,1166,vijayawada,10,tamil,yes,16,40,hiphop,no,yes,indoor,matte,yes
unmarried,6,male,2,dancing,yes,8973395,brown,1,5,2558,srinagar,7,hindi,no,16,40,mashups,yes,yes,virtual,fluffy,not so often
unmarried,46,female,1,cooking,yes,6394389,blue,4,5,2832,shimla,4,telugu,yes,14,23,metallic,yes,no,indoor,silky,no
married,10,male,2,dancing,no,6683746,yellow,2,8,2699,bangalore,14,bengali,yes,14,12,metallic,no,no,outdoor,soft,not so often
unmarried,8,male,2,acting,yes,1360106,yellow,7,10,875,kohima,24,kannada,yes,12,10,pop,no,no,indoor,soft,no
married,18,female,3,watching,yes,574390,purple,7,10,1633,raipur,6,kannada,no,17,9,romantic,yes,no,virtual,matte,not so often
divorced,28,male,2,sleeping,yes,716230,yellow,1,5,853,patna,14,telugu,no,21,11,rock,no,yes,virtual,silky,no
unmarried,41,female,1,singing,yes,1164430,green,1,8,963,vijayawada,3,marathi,no,12,6,rock,yes,no,outdoor,matte,not so often
divorced,41,female,3,dancing,yes,5007892,orange,2,0,2299,delhi,4,telugu,no,4,3,hiphop,no,yes,indoor,soft,no
married,30,female,2,cooking,no,738824,orange,2,5,884,dispur,1,malayalam,yes,8,4,romantic,no,yes,virtual,hard,not so often
married,29,male,2,reading,no,1718402,grey,1,9,521,mumbai,1,hindi,yes,16,23,pop,no,yes,augmented,hard,not so often
married,30,female,3,reading,yes,2651024,grey,2,6,875,kolkata,6,hindi,yes,21,4,romantic,no,yes,indoor,silky,yes
unmarried,19,female,2,sleeping,no,1563723,green,1,9,337,jaipur,4,hindi,yes,20,10,cover,yes,no,indoor,silky,yes
divorced,41,male,2,traveling,no,310904,purple,2,3,251,jammu,5,malayalam,yes,17,12,rock,no,yes,outdoor,soft,yes
married,19,male,3,sleeping,yes,6683746,brown,8,10,768,panaji,11,kannada,yes,16,17,romantic,no,no,outdoor,soft,yes
unmarried,28,female,4,traveling,yes,3350881,yellow,4,0,3912,kolkata,3,tamil,yes,13,11,cover,yes,yes,augmented,hard,no
unmarried,23,female,1,volunteering,no,5007892,orange,2,8,1902,khammam,25,bengali,no,3,15,folk,yes,no,augmented,fluffy,yes
married,15,male,4,acting,no,716230,white,1,10,883,vijayawada,10,punjabi,yes,13,20,hiphop,no,no,virtual,matte,no
married,30,male,2,cooking,no,6153800,black,2,9,521,gangtok,21,punjabi,yes,21,21,cover,yes,yes,virtual,soft,no
married,23,male,2,sports,no,652739,black,2,8,251,agartala,13,telugu,yes,10,1,metallic,no,yes,augmented,fluffy,no
married,60,unspecified,3,volunteering,yes,214791,red,1,8,1902,delhi,10,telugu,yes,16,10,folk,no,no,augmented,matte,yes
married,6,female,2,traveling,no,980184,brown,2,4,1682,kolkata,18,bengali,no,15,12,jaaz,no,yes,indoor,fluffy,not so often
married,13,male,3,sleeping,no,2074427,black,1,9,1244,mumbai,6,marathi,no,22,4,rock,yes,no,indoor,silky,not so often
widow,13,female,2,sleeping,yes,9525596,blue,4,8,2690,patna,15,tamil,yes,14,12,soft,yes,yes,outdoor,hard,not so often
unmarried,36,male,2,watching,no,2338408,black,2,12,853,srinagar,6,punjabi,yes,5,27,folk,yes,no,augmented,matte,not so often
married,12,female,2,watching,no,6153800,blue,2,8,1355,kolkata,8,hindi,yes,12,11,jaaz,no,yes,virtual,fluffy,not so often
divorced,19,male,3,sleeping,yes,150237,brown,8,7,828,hyderbad,21,telugu,yes,0,20,metallic,yes,no,outdoor,silky,not so often
unmarried,21,female,2,sleeping,no,4648178,grey,3,7,3749,shillong,7,punjabi,no,5,9,hiphop,no,yes,indoor,fluffy,not so often
married,36,male,1,volunteering,no,5007892,purple,2,4,337,hyderbad,8,hindi,yes,16,1,hiphop,yes,no,indoor,silky,not so often
unmarried,25,male,2,watching,yes,8973395,yellow,2,6,395,chennai,1,hindi,no,16,21,romantic,no,no,outdoor,silky,yes
unmarried,45,male,3,sleeping,yes,980184,red,2,10,2375,gandhinagar,13,hindi,yes,4,5,jaaz,yes,yes,virtual,hard,not so often
married,25,male,3,volunteering,no,403987,white,4,10,1552,gangtok,2,kannada,no,12,28,cover,no,yes,augmented,fluffy,yes
married,11,male,1,singing,yes,735697,red,2,9,2832,itanagar,2,punjabi,yes,17,7,cover,yes,no,outdoor,silky,not so often
married,43,female,3,sleeping,no,8154472,pink,2,0,2690,patna,1,bengali,no,21,27,jaaz,yes,yes,indoor,silky,no
unmarried,19,male,1,singing,yes,104907,black,1,10,3286,bangalore,1,punjabi,yes,14,6,hiphop,no,yes,virtual,silky,not so often
married,15,male,3,reading,yes,1563723,grey,1,8,1649,delhi,8,marathi,no,16,38,folk,yes,yes,augmented,silky,yes
married,18,female,3,sports,yes,574390,orange,1,10,602,raipur,8,malayalam,no,11,10,jaaz,no,yes,augmented,silky,not so often
unmarried,18,male,2,traveling,no,656271,green,7,5,1718,panaji,14,telugu,yes,2,10,rock,no,yes,indoor,soft,yes
married,7,female,1,singing,yes,260870,white,2,5,1166,srinagar,2,hindi,no,24,38,hiphop,yes,no,virtual,fluffy,yes
unmarried,30,female,2,acting,yes,1360106,brown,2,8,3749,shimla,5,malayalam,yes,7,27,soft,yes,no,virtual,soft,not so often
married,59,female,2,volunteering,yes,4983019,green,1,12,2558,kohima,16,kannada,yes,16,1,jaaz,yes,yes,augmented,soft,yes
married,20,male,2,dancing,yes,4648178,yellow,2,5,1468,gandhinagar,11,tamil,yes,22,3,mashups,yes,yes,indoor,soft,no
married,60,male,2,reading,yes,403987,blue,2,7,1767,itanagar,15,tamil,yes,21,27,folk,no,yes,outdoor,silky,no
married,24,male,3,acting,yes,6969252,blue,4,9,379,gangtok,20,telugu,yes,15,4,pop,no,no,virtual,soft,yes
married,28,male,1,singing,no,8348261,brown,1,6,1399,ranchi,10,kannada,yes,14,1,folk,no,no,virtual,silky,yes
married,30,male,2,traveling,no,2651024,purple,2,10,370,ranchi,1,malayalam,yes,12,1,romantic,yes,no,indoor,hard,not so often
widow,15,female,3,acting,no,4983019,orange,1,7,1767,jaipur,18,bengali,yes,15,12,cover,yes,no,virtual,hard,yes
widow,30,female,2,traveling,yes,1563723,brown,3,8,1758,thiruvananthapuram,6,hindi,yes,16,26,folk,no,yes,outdoor,hard,yes
unmarried,30,male,2,cooking,no,1079127,green,1,10,3912,kolkata,4,telugu,yes,16,1,mashups,no,yes,virtual,soft,yes
married,41,female,2,traveling,no,862365,white,2,5,519,thiruvananthapuram,15,punjabi,yes,18,1,cover,no,yes,indoor,soft,yes
married,30,male,3,acting,no,150237,green,1,10,831,khammam,28,hindi,yes,14,8,soft,yes,yes,augmented,matte,yes
married,42,male,2,dancing,yes,938438,green,8,10,2672,delhi,13,tamil,no,14,17,hiphop,no,no,augmented,silky,yes
married,15,male,2,reading,no,260870,purple,3,5,2733,dispur,21,hindi,yes,11,7,hiphop,yes,no,virtual,fluffy,yes
married,51,male,2,sleeping,no,657054,brown,1,10,3954,imphal,1,malayalam,yes,9,10,soft,yes,no,outdoor,soft,no
married,20,female,3,traveling,yes,4648178,purple,1,9,2334,thiruvananthapuram,16,marathi,yes,5,9,mashups,yes,no,virtual,matte,yes
divorced,56,male,4,acting,no,1884102,yellow,1,10,1516,delhi,8,kannada,no,14,11,pop,yes,yes,indoor,fluffy,not so often
divorced,36,female,1,singing,no,851246,pink,1,9,1219,mumbai,4,telugu,yes,6,25,metallic,yes,yes,virtual,soft,no
married,16,male,3,acting,yes,336197,black,7,10,395,shillong,1,marathi,yes,0,29,cover,no,no,virtual,silky,not so often
unmarried,28,male,2,dancing,no,5321373,green,8,10,395,mumbai,10,bengali,yes,9,23,jaaz,no,yes,indoor,fluffy,yes
married,25,male,2,dancing,no,656271,brown,2,10,689,panaji,5,kannada,yes,17,18,romantic,no,yes,virtual,silky,no
married,46,female,1,watching,yes,277431,black,4,4,853,mumbai,4,kannada,yes,12,17,soft,yes,no,virtual,silky,no
married,62,female,2,acting,no,816236,purple,2,8,673,lucknow,21,malayalam,yes,12,9,romantic,no,no,outdoor,fluffy,no
married,21,female,2,volunteering,yes,214791,grey,2,10,395,kohima,13,hindi,yes,3,15,mashups,yes,no,outdoor,fluffy,no
married,8,male,1,acting,no,309195,grey,2,2,2334,raipur,6,malayalam,no,22,13,mashups,yes,no,virtual,silky,no
unmarried,6,male,2,traveling,yes,310904,yellow,1,10,1507,chandigarh,6,hindi,no,13,8,cover,no,yes,virtual,soft,yes
married,8,unspecified,1,traveling,yes,7850318,purple,3,6,3832,bangalore,6,hindi,yes,12,8,cover,yes,yes,virtual,fluffy,not so often
unmarried,18,female,3,watching,yes,9587831,brown,2,5,2160,chandigarh,7,marathi,no,23,5,folk,yes,yes,outdoor,fluffy,yes
married,20,male,3,watching,yes,2208382,red,1,3,921,srinagar,8,punjabi,yes,8,15,mashups,no,yes,augmented,silky,not so often
married,17,female,1,traveling,yes,2462054,white,2,5,2551,bhopal,23,kannada,yes,12,19,rock,no,yes,indoor,soft,no
married,27,male,2,singing,yes,6394389,purple,2,7,2160,delhi,10,kannada,yes,0,11,cover,no,yes,augmented,fluffy,no
divorced,44,female,1,cooking,no,4823265,orange,1,10,1468,bangalore,9,telugu,yes,14,11,metallic,no,no,outdoor,matte,yes
married,48,male,3,watching,yes,257205,grey,8,1,2831,jammu,8,hindi,yes,14,29,rock,yes,no,virtual,fluffy,not so often
married,17,male,3,cooking,no,277431,black,2,6,3832,kolkata,4,tamil,yes,14,29,cover,no,yes,outdoor,fluffy,yes
unmarried,48,female,3,reading,yes,9587831,blue,1,5,3467,shimla,24,punjabi,no,5,3,rock,yes,no,augmented,soft,no
unmarried,15,male,4,sports,no,4983019,red,1,8,2573,hyderbad,8,marathi,yes,14,31,jaaz,no,no,outdoor,soft,not so often
divorced,23,male,1,singing,no,816236,yellow,2,10,1503,kohima,6,bengali,no,17,9,soft,yes,no,indoor,hard,not so often
married,23,male,2,sports,no,260870,red,2,8,1219,jaipur,1,kannada,no,21,14,cover,no,yes,outdoor,matte,not so often
widow,25,unspecified,1,singing,yes,716230,yellow,1,10,3912,itanagar,16,bengali,no,12,1,metallic,no,yes,outdoor,hard,not so often
unmarried,25,male,1,acting,yes,9258371,red,2,3,2551,imphal,13,telugu,yes,21,5,romantic,yes,yes,virtual,matte,not so often
married,14,male,2,reading,no,1079127,orange,1,10,2305,mumbai,4,bengali,yes,14,5,pop,no,yes,virtual,soft,not so often
divorced,29,female,3,traveling,no,150237,pink,2,10,1758,gandhinagar,10,malayalam,yes,15,5,metallic,no,no,outdoor,silky,no
unmarried,22,male,3,dancing,no,1795936,orange,4,10,370,jammu,2,marathi,yes,15,8,pop,yes,yes,augmented,hard,not so often
married,18,male,2,acting,yes,1460818,black,1,10,921,thiruvananthapuram,23,kannada,no,3,26,cover,yes,no,outdoor,hard,no
married,37,female,2,volunteering,yes,329840,white,3,4,521,kolkata,6,hindi,yes,13,28,rock,no,yes,indoor,matte,yes
widow,25,male,2,reading,no,1069422,orange,7,8,379,thiruvananthapuram,5,tamil,yes,21,26,folk,yes,yes,indoor,silky,not so often
unmarried,48,female,2,singing,yes,8154472,blue,2,6,897,chandigarh,8,telugu,yes,10,3,jaaz,yes,no,outdoor,soft,yes
unmarried,25,female,3,singing,yes,212243,purple,4,8,845,raipur,6,kannada,no,16,40,mashups,yes,no,virtual,silky,no
unmarried,10,male,1,watching,no,6394389,yellow,2,3,379,chennai,8,bengali,no,14,22,jaaz,no,no,outdoor,silky,yes
married,26,female,3,volunteering,no,984830,grey,2,8,1825,hyderbad,1,hindi,yes,16,7,pop,yes,no,virtual,fluffy,not so often
divorced,19,female,3,reading,no,588503,grey,4,4,1767,lucknow,24,bengali,no,17,25,soft,yes,no,outdoor,silky,no
married,39,female,3,reading,yes,851246,grey,1,9,543,lucknow,10,kannada,yes,20,7,rock,no,yes,indoor,silky,yes
married,34,male,3,acting,no,588503,pink,1,8,2372,dehradun,17,kannada,yes,14,10,hiphop,yes,no,outdoor,hard,no
unmarried,8,male,1,sports,yes,505020,brown,4,8,306,bangalore,1,kannada,yes,11,11,romantic,yes,no,augmented,matte,no
unmarried,21,male,3,dancing,yes,5330846,black,1,8,2299,panaji,8,telugu,yes,12,10,cover,yes,yes,indoor,soft,yes
unmarried,60,male,2,traveling,yes,589089,green,1,4,768,chandigarh,9,tamil,yes,6,4,jaaz,yes,no,outdoor,hard,no
widow,55,male,1,sports,yes,2338408,pink,2,10,3954,itanagar,4,hindi,yes,12,21,soft,no,yes,augmented,hard,yes
married,53,female,3,reading,yes,1563723,brown,2,12,897,itanagar,4,marathi,yes,16,3,soft,no,no,outdoor,silky,not so often
married,25,male,3,sleeping,no,652739,green,1,8,1758,dispur,10,bengali,yes,11,8,pop,yes,yes,outdoor,silky,not so often
unmarried,23,female,3,sleeping,no,4782671,white,1,4,1244,gandhinagar,16,malayalam,yes,18,3,metallic,yes,yes,augmented,hard,yes
unmarried,21,male,3,dancing,no,111985,red,7,9,1394,bhubaneswar,16,bengali,yes,20,28,pop,no,no,virtual,soft,no
unmarried,21,male,2,reading,no,837270,black,4,9,396,dispur,3,kannada,yes,12,10,cover,yes,yes,outdoor,hard,yes
unmarried,59,female,2,reading,yes,428343,red,1,4,370,ranchi,9,punjabi,no,13,7,pop,no,no,outdoor,matte,not so often
married,30,female,3,sports,yes,8543553,green,1,10,853,kolkata,3,punjabi,yes,7,3,hiphop,yes,no,indoor,soft,not so often
married,29,male,1,sports,yes,6683746,white,2,12,897,ranchi,14,tamil,no,14,3,mashups,no,no,augmented,matte,yes
married,48,male,2,reading,no,910711,white,2,8,828,thiruvananthapuram,4,telugu,yes,17,20,soft,no,yes,augmented,fluffy,no
married,20,male,3,watching,yes,257205,grey,1,10,2389,delhi,10,marathi,yes,13,14,romantic,no,yes,indoor,hard,yes
married,11,male,1,acting,no,335973,purple,1,8,1932,panaji,20,punjabi,no,16,3,metallic,yes,yes,indoor,soft,yes
married,19,male,3,sleeping,no,6941819,brown,4,4,602,jaipur,9,hindi,yes,14,14,mashups,no,yes,indoor,matte,not so often
unmarried,53,male,1,cooking,no,6969252,red,8,0,1219,jammu,4,bengali,no,5,1,metallic,yes,yes,indoor,hard,no
unmarried,25,female,3,singing,no,754169,blue,2,0,3912,chandigarh,10,malayalam,no,14,15,jaaz,yes,no,virtual,hard,no
married,47,female,2,sleeping,yes,1360106,grey,1,5,2558,itanagar,1,kannada,yes,14,33,cover,no,no,indoor,soft,no
unmarried,22,female,1,watching,no,1718402,pink,2,0,1468,shimla,9,kannada,no,9,26,romantic,yes,no,virtual,matte,no
married,25,male,3,cooking,no,4782671,blue,2,6,263,delhi,8,malayalam,no,14,8,mashups,no,yes,outdoor,silky,no
widow,28,female,2,sleeping,no,6394389,blue,1,10,2202,bangalore,18,punjabi,yes,17,1,mashups,no,yes,indoor,hard,not so often
divorced,30,male,3,sleeping,no,5321373,white,2,6,263,delhi,6,marathi,yes,14,22,metallic,no,yes,augmented,matte,not so often
married,52,female,2,sleeping,no,584486,black,1,5,2573,raipur,4,telugu,no,12,40,mashups,yes,no,indoor,soft,no
unmarried,21,female,1,acting,no,6941819,purple,2,5,1718,lucknow,10,kannada,no,24,14,mashups,yes,yes,virtual,hard,no
divorced,19,unspecified,2,watching,yes,4492854,brown,2,8,673,gandhinagar,15,tamil,yes,14,14,jaaz,yes,no,virtual,hard,no
widow,30,male,2,acting,yes,984830,brown,1,12,1932,jammu,1,telugu,yes,0,26,hiphop,no,yes,virtual,fluffy,not so often
unmarried,29,male,3,traveling,yes,1884102,pink,1,12,543,dehradun,8,punjabi,yes,9,22,jaaz,no,no,augmented,soft,yes
divorced,43,male,2,sports,yes,2074427,brown,4,2,1394,hyderbad,8,tamil,yes,12,2,metallic,no,no,indoor,silky,not so often
unmarried,5,female,3,sleeping,yes,4492854,green,1,10,2558,dispur,20,bengali,no,3,22,romantic,yes,no,indoor,hard,no
married,25,male,1,sleeping,no,5381784,red,1,10,2445,gandhinagar,6,punjabi,yes,17,30,metallic,no,no,outdoor,fluffy,no
unmarried,14,male,4,watching,yes,4823265,green,2,8,689,shimla,15,telugu,yes,15,15,soft,no,no,outdoor,matte,yes
divorced,14,female,2,acting,yes,1079127,purple,2,8,1166,kohima,20,bengali,no,5,28,metallic,no,yes,outdoor,fluffy,no
unmarried,26,male,3,traveling,no,862365,white,1,7,306,kohima,9,hindi,no,14,23,pop,yes,yes,augmented,fluffy,yes
married,21,unspecified,4,volunteering,yes,2462054,grey,4,9,884,ranchi,3,punjabi,yes,4,2,metallic,no,no,augmented,silky,not so often
married,34,male,1,sports,yes,8348261,grey,4,10,2202,dispur,2,punjabi,yes,13,22,hiphop,yes,yes,indoor,hard,no
married,60,female,2,traveling,yes,428343,red,2,5,2551,vijayawada,6,kannada,yes,13,12,folk,yes,yes,indoor,matte,no
divorced,60,female,1,sleeping,no,980184,purple,2,10,921,mumbai,13,malayalam,yes,7,19,romantic,yes,yes,virtual,fluffy,no
married,6,female,2,sleeping,no,754169,white,1,8,1166,jammu,8,kannada,no,13,14,mashups,no,yes,indoor,fluffy,no
married,60,female,1,reading,yes,8273815,grey,2,5,963,jaipur,29,marathi,yes,17,1,rock,yes,yes,outdoor,hard,not so often
unmarried,30,male,2,watching,yes,112202,red,2,4,2733,jaipur,10,malayalam,no,14,9,cover,no,yes,outdoor,silky,not so often
divorced,30,male,1,sleeping,no,738824,white,1,9,306,ranchi,9,marathi,no,13,26,cover,yes,no,outdoor,soft,not so often
married,8,male,3,singing,no,309195,black,2,4,2831,bhopal,20,hindi,no,9,27,cover,no,yes,indoor,matte,yes
married,11,male,3,reading,no,3046609,grey,2,6,2334,ranchi,8,punjabi,yes,7,10,rock,yes,yes,augmented,hard,no
married,11,male,1,reading,yes,399312,white,4,8,2699,dispur,23,punjabi,no,10,6,cover,no,no,outdoor,soft,no
married,27,male,1,cooking,yes,215870,black,4,6,632,itanagar,14,hindi,yes,14,12,rock,no,yes,outdoor,silky,no
married,25,male,3,sleeping,yes,257205,blue,2,4,2160,chennai,15,telugu,no,15,3,jaaz,no,yes,augmented,silky,no
married,55,male,3,reading,yes,9587831,yellow,2,6,2305,gandhinagar,29,punjabi,yes,20,20,cover,no,yes,virtual,silky,no
divorced,25,female,3,singing,no,2208382,purple,1,8,921,shimla,10,telugu,yes,15,23,cover,no,yes,virtual,matte,no
married,30,male,3,watching,no,5330846,black,3,10,2202,gangtok,14,tamil,no,17,9,mashups,yes,yes,outdoor,hard,yes
unmarried,7,female,3,dancing,no,8596595,brown,2,0,1047,chennai,23,telugu,no,0,8,cover,yes,yes,outdoor,fluffy,not so often
married,57,male,4,acting,yes,111985,black,2,4,2305,delhi,10,marathi,yes,12,4,pop,yes,no,indoor,fluffy,no
unmarried,29,female,2,traveling,yes,4782671,green,1,8,1987,ranchi,4,hindi,yes,12,9,pop,no,no,virtual,soft,yes
widow,17,male,1,singing,no,6394389,purple,2,6,355,srinagar,4,kannada,yes,1,12,metallic,no,yes,outdoor,fluffy,not so often
unmarried,20,female,1,acting,no,6251352,purple,1,9,1507,chennai,1,marathi,yes,12,27,jaaz,yes,no,augmented,matte,yes
unmarried,18,male,2,dancing,no,7775818,pink,2,10,921,shimla,6,tamil,no,13,25,jaaz,no,no,virtual,fluffy,not so often
married,5,male,2,sports,yes,754169,yellow,2,0,2690,vijayawada,16,punjabi,yes,12,22,soft,no,no,augmented,matte,yes
unmarried,7,unspecified,3,sports,yes,754169,grey,2,8,1649,mumbai,11,hindi,yes,13,10,cover,yes,yes,indoor,fluffy,not so often
married,19,unspecified,1,singing,no,652739,red,2,5,2375,bhopal,4,kannada,no,17,28,soft,yes,no,outdoor,silky,yes
divorced,53,unspecified,1,cooking,yes,2651024,orange,2,12,521,mumbai,15,marathi,yes,5,19,cover,no,no,virtual,soft,no
widow,24,male,1,dancing,no,2074427,white,2,6,379,hyderbad,9,punjabi,yes,5,20,soft,yes,yes,virtual,fluffy,yes
married,8,male,1,sleeping,no,5007892,orange,1,4,1542,delhi,6,punjabi,yes,14,33,metallic,no,yes,outdoor,soft,no
unmarried,59,male,2,acting,yes,4983019,grey,2,5,3972,raipur,9,tamil,yes,17,20,folk,yes,yes,indoor,fluffy,no
unmarried,30,male,3,cooking,no,6251352,blue,1,6,2733,kolkata,20,telugu,no,21,15,mashups,no,yes,indoor,soft,yes
married,55,female,3,traveling,no,7775818,blue,8,8,1987,vijayawada,9,punjabi,yes,16,11,cover,no,yes,outdoor,hard,not so often
widow,25,female,3,dancing,no,7850318,green,1,10,632,vijayawada,15,marathi,yes,6,8,rock,no,yes,indoor,fluffy,no
married,17,male,4,watching,no,893732,purple,2,5,2372,delhi,7,telugu,yes,16,12,cover,yes,no,indoor,soft,no
married,24,male,2,cooking,no,9587831,green,2,4,533,gandhinagar,15,hindi,yes,12,20,cover,yes,no,indoor,hard,yes
unmarried,20,female,1,sports,no,3046609,yellow,4,7,2375,gangtok,1,punjabi,yes,13,23,cover,yes,no,outdoor,soft,no
married,36,male,3,traveling,yes,9258371,white,1,7,1987,delhi,21,bengali,yes,18,30,metallic,no,no,augmented,hard,not so often
married,27,male,2,traveling,no,949312,brown,2,9,396,chandigarh,14,kannada,yes,7,10,folk,no,no,indoor,fluffy,yes
unmarried,10,male,1,sleeping,yes,1069422,white,4,5,519,gandhinagar,3,telugu,no,18,22,cover,yes,no,augmented,silky,yes
divorced,60,male,1,volunteering,no,987529,blue,2,12,2305,dehradun,5,punjabi,no,14,19,rock,no,no,virtual,matte,no
widow,12,male,3,volunteering,no,310904,orange,2,5,1633,delhi,5,hindi,no,6,12,cover,no,yes,indoor,fluffy,not so often
divorced,42,unspecified,3,singing,no,111985,white,1,12,963,bhopal,18,punjabi,yes,12,8,folk,no,yes,indoor,hard,not so often
married,43,male,2,singing,no,428343,yellow,2,8,2372,vijayawada,28,kannada,yes,14,12,cover,yes,yes,augmented,matte,no
married,20,male,1,watching,yes,8017090,red,4,12,396,chennai,4,hindi,yes,16,14,metallic,yes,yes,augmented,fluffy,no
married,24,male,2,volunteering,no,8154472,yellow,8,9,263,agartala,6,bengali,no,12,8,rock,yes,yes,outdoor,soft,yes
married,39,female,2,reading,yes,1460818,orange,3,10,2831,thiruvananthapuram,6,punjabi,yes,15,14,jaaz,yes,no,virtual,silky,no
married,47,female,1,sports,yes,131480,yellow,2,0,1987,bangalore,9,malayalam,yes,12,5,soft,no,no,indoor,matte,yes
married,36,male,2,sports,yes,949312,white,2,9,2299,bhubaneswar,17,malayalam,yes,13,10,folk,yes,yes,outdoor,fluffy,yes
married,18,female,4,watching,yes,2753719,red,2,4,519,ranchi,23,kannada,no,13,17,romantic,yes,no,virtual,matte,not so often
married,25,male,2,dancing,yes,150237,yellow,4,10,1718,bhopal,3,hindi,no,20,3,hiphop,yes,yes,outdoor,fluffy,not so often
unmarried,20,male,2,traveling,no,150237,orange,8,9,2831,agartala,10,malayalam,yes,14,6,folk,no,no,outdoor,silky,no
married,72,male,3,dancing,no,505020,white,3,8,1869,panaji,15,hindi,yes,17,21,romantic,yes,no,augmented,fluffy,yes
divorced,30,male,2,watching,no,6683746,orange,2,9,2699,bangalore,14,kannada,no,12,11,mashups,no,no,virtual,fluffy,yes
married,25,male,2,singing,no,984830,blue,1,7,1718,thiruvananthapuram,8,kannada,yes,18,14,pop,yes,no,indoor,fluffy,yes
unmarried,19,male,3,sports,no,1164430,black,2,6,2048,mumbai,6,tamil,yes,23,27,mashups,no,no,augmented,silky,no
married,6,female,1,watching,no,111985,pink,1,10,3749,jammu,21,malayalam,yes,14,3,cover,no,no,virtual,fluffy,not so often
married,27,female,2,sports,yes,571428,white,1,5,1244,mumbai,5,marathi,yes,16,9,metallic,yes,yes,indoor,soft,yes
divorced,51,male,2,volunteering,no,2338408,purple,2,8,831,ranchi,1,marathi,yes,16,23,metallic,yes,no,augmented,soft,not so often
married,19,female,2,volunteering,yes,8154472,orange,3,5,3972,bangalore,10,hindi,no,17,31,hiphop,yes,yes,indoor,soft,not so often
married,58,unspecified,3,dancing,no,1164430,blue,2,6,1399,thiruvananthapuram,23,bengali,yes,14,19,cover,yes,no,outdoor,fluffy,yes
married,29,male,1,dancing,yes,3017170,green,2,6,2160,imphal,3,tamil,yes,7,23,jaaz,no,yes,augmented,hard,not so often
unmarried,8,male,1,traveling,yes,505020,white,2,4,2160,patna,15,telugu,yes,8,11,cover,yes,yes,outdoor,matte,not so often
married,37,female,2,volunteering,no,309195,orange,2,9,3286,mumbai,23,malayalam,no,15,17,folk,yes,no,outdoor,soft,not so often
married,25,male,3,sleeping,no,148716,pink,2,7,1649,bhubaneswar,4,telugu,no,13,26,mashups,no,yes,virtual,soft,no
married,20,male,1,sleeping,yes,1164430,purple,8,8,2445,dispur,23,marathi,yes,12,28,folk,no,yes,virtual,matte,not so often
